Dept + Number,Professor,Median Grade,Semester (Ex: SP21),# of Students,Notes
ENGRI 1120,Alabi,A-,FA20,55,
ENGRI 1130,Giometto,A-,SP21,56,
ENGRI 1140,Van Dover,A-,FA19,49,
ENGRI 1140,Van Dover,B+,FA21,63,
ENGRI 1160,Hover,A,FA19,49,
ENGRI 1170,Tian,A-,FA21,58,
ENGRI 1200,Kourkoutis,B+,FA21,46,crosslisted with AEP 1200
ENGRI 1210,Albonesi,A-,SP21,183,
ENGRI 1270,Callister,A,FA20,128,
ENGRI 1270,Callister,A+,FA21,69,
ENGRI 1337,March/Luo,A,FA20,24,
ENGRI 1510,Pepiot,A,SP22,24,
ENTOM 2011,Peck & Sanderson,A,SP21,156,
FDSC 1101,Loss,A,FA21,84,
FDSC 2300,Loss,A+,SP21,66,
FDSC 2500,Regenstein,A-,FA21,55,Crosslisted with JWST 2501
FGSS 1117,Nesvaderani,A,FA20,16,
FGSS 3520,Long,A+,FA20,16,crosslisted with FREN 3520
FREN 1220,Menard,A,SP21,76,
FREN 2090,Glidja,A-,FA21,70,
FREN 2090,Glidja,A-,SP22,58,
FREN 2095,Menard,A,FA21,20,
FREN 2180,Torea,A,FA20,19,
FREN 2320,Menard,A,SP21,13,
GERST 1109,Mueller,A,FA20,68,
GERST 1109 (From fairy tale to uncanny),McQuade,A-,SP21,16,"Great content, great instructor"
"GERST 1170 (FWS: Marx, Nietzsche, Freud)",Yigit,A,FA21,32,
GERST 1210,Lischke,A-,FA21,40,
GERST 1220,Lischke,A-,SP22,33,
GERST 1220,Matthias,B+,FA19,16,
GERST 2000,McBride,A,SP21,12,
GERST 2020,McBride,A,FA20,,
GOVT 1111,Kriner,B+,SP21,247,king
GOVT 1817,Kreps,B+,FA21,84,
GOVT 2225,Haskins,A,FA18,249,
GOVT 2432,Marmor,B+,FA21,66,crosslisted with PHIL 2430
GOVT 2897,Evangelista,A,SP22,41,
GOVT 3112,Bateman,A-,FA21,39,
GOVT 3121,Marguiles,A-,FA21,119,crosslisted with AMST 3121
GOVT 3174,Wilmers,B,SP22,14,Crosslisted with SOC 3170
GOVT 3281,Chutkow,A-,SP21,135,
GOVT 3303,Lowell,A-,FA19,113,
GOVT 3683,Young,A,FA20,25,
GOVT 3867,Ward,,FA20,,
GOVT 4000,Various,A-,FA19,45,Gov Major Seminar. The total of 45 students is divided across iirc 3-4 courses under the same number. Each class has max 15 students.
HADM 1150,Tang,B+,FA21,123,
HADM 1210,Ritz/Yeo,B,SP20,216,
HADM 1210,McAusland,B+,FA19,160,
HADM 1350,Roberts,A-,SP20,145,
HADM 1350,McCarthy,B+,FA16,154,
HADM 1360,Pezzotti,A-,FA18,142,No longer teaching this class
HADM 1360,Ozanne,A-,SP21,122,
HADM 1410,Alexander,A-,SP21,163,
HADM 1650,Odom-Reed,B+,FA18,119,Avoid this professor.
HADM 1650,Stewart-Harris,B+,FA21,135,
HADM 1740,Whitmore,A-,FA20,253,
HADM 1740,MacAusland,B,SP20,131,
HADM 2010,Belavina,A,SP21,143,No A+ given
HADM 2010,Chestnut,A-,FA21,139,
HADM 2210,Paz,A-,SP22,130,
HADM 2210,Paz,B+,FA19,,Fall 2021
HADM 2220,Liu,A,SP21,139,A+ if >99
HADM 2220,Moulton,A-,FA21,138,
HADM 2220,Carvell,B+,FA19,148,
HADM 2250,Carvell,B+,FA21,152,
HADM 2360,Gaulke,A-,FA19,120,
HADM 2360,Gaulke,B+,SP22,139,
HADM 2410,Li,A-,FA19,246,
HADM 2410,Scott Erickson,B+,SP22,188,
HADM 2430,Chun,A-,FA21,137,
HADM 2430,McCarthy,B,FA19,226,
HADM 2430,LaTour,B+,SP21,136,
HADM 2550,Chervinsky,B+,SP22,138,
HADM 2810,Lakhani,A-,SP22,135,
HADM 4480,Dev,A-,FA20,24,
HADM 4770,Tarantino,A,SP21,63,
HADM 4870,Klausner,A,SP21,63,
HD 1150,"Sternberg, K.",A-,FA21,241,
HD 1150,Loeckenhoff,A+,FA20,,
HD 1170,"Sternberg, R.",A-,SP22,237,
HD 2180,Loeckenhoff,A,FA20,107,
HD 2180,Loeckenhoff,A-,FA19,, 
HD 2350,Kedar,A,FA21,28,
HD 2600,Zayas,A-,FA19,,
HD 3620,Hazan,A,SP21,706,
HD 3620,Loeckenhoff,A,SP21,56,
HD 3620,Hazan,A,SP22,754,
HD 3660,Anderson,A+,FA21,56,
HE 1115,Chen,A,SP21,53,
HIST 1200 (FWS: Globalization in the Persian Gulf),Ocampo,A,FA21,24,
HIST 1200 (FWS: Race & Science-Modern Europe),Boling,A,SP22,100,
HIST 1200 (FWS: Writing History),Carnaghi,A,SP21,78,
HIST 1315 (FWS: American Insurgencies),Chang,A,FA20,18,
HIST 1321,King-Oâ€™Brien,A-,FA20,12,
HIST 1335 (FWS: Fascisms),Alano,A-,FA20,16,
HIST 1511,Weil,B+,FA19,33,
HIST 1561,Minawi,A-,FA21,18,Prof teaches class like a seminar. discussion sections are not held
HIST 1600,Friedland/Verhoeven,A-,FA20,140,
HIST 1986,Schmitt,A,FA21,35,
HIST 2560,Strauss,A-,SP22,42,
HIST 2590,Falk,B+,SP21,13,
HIST 2958,Florea,B+,SP22,15,"Is functionally the same structure as 2969, just with different content"
HIST 2969,Florea,B+,FA21,75,Be prepared to read around 100 pages some nights
HIST 3519,Gocheleishvili,A-,SP22,68,
HIST 3542,Minawi,A-,SP22,15,
ILRHR 2600,Davis,A,FA20,,
ILRHR 2600,Davis,A,FA21,225,
ILRID 2660,Homrighouse,A-,SP21,147,
ILRLE 2400,Dev,B,FA19,120,
ILRLE 2400,Hutchens,B+,FA21,159,
ILRLE 2400,Smith,B+,SP22,143,
ILRLE 3480,Ehrenberg,A,FA19,57,
ILRLR 1100,DeVault,A-,FA20,168,
ILRLR 1100,Nagaraja ,A-,SP22,180,
ILRLR 1200,Weiner-Heinemann,A-,FA21,33,
ILRLR 2010,Griffith,A-,FA20,,
ILRLR 2010,Gold,A-,SP22,158,
ILRLR 2050,McCarthy,A,SP21,114,
ILRLR 2050,Katz,A-,FA21,184,
ILRLR 2050,Yang,A-,FA21,184,
ILRLR 2050,Litwin,B+,FA18,208,
ILRLR 3055,Nelson,A,FA18,48,
ILRLR 3071,Applegate,A-,FA19,44,
ILRLR 3300,Nelson,A,SP21,178,
ILRLR 4000,Bronfenbrenner,A,FA21,18,
ILRLR 4023,Saleh,A,SP22,44,
ILRLR 4033,Saleh,A,SP22,53,
ILROB 1220,Rissing,A,FA20,210,
ILROB 1220,Rissing,A,SP21,,a
ILROB 1220,Rissing,A ,FA21,208,
ILRST2100,Entner ,A-,SP22,457,
INFO 1260,Kleinberg/Levy,A,SP21,464,crosslisted with CS 1340
INFO 1260,Kleinberg/Levy,A,SP22,691,
INFO 1300,Harms,A,FA21,264,
INFO 2040,Easley,A-,FA21,210,
INFO 2450,Nathan Matias,A-,FA21,258,Crosslisted with COMM 2450 
INFO 2750,Doing,A-,FA20,45,
INFO 2950,Wilkens,A-,FA21,217,
INFO 3300,Rzeszotarski,A+,FA21,205,Crosslisted with CS 3300
INFO 3450,Yang,A,FA21,92,All assignments graded by TAs -> very arbitrary
INFO 4240,Sengers,A-,SP21,182,
INFO 4505,Vashistha,A,FA21,81,
INFO 4940,Cleare,A+,FA21,87,Special Topic: Project Management
ITAL 1113,Wittelsbach,A,FA18,16,
ITAL 2201,Baraldi/Von Wittlesbach,A,FA21,64,class size is actually 10-15 people as there are multiple time sessions available
JWST 2644,Mokhtarian,A,SP22,15,crosslisted with NES 2644
KOREA 1101,Song,A,FA21,40,
LING 1100,Various (FWS),A,FA21,94,
LING 1101,Despic,A,FA20,103,
LING 1101,Mendia,A,FA21,125,
LING 2215,Christiansen,A,SP21,78,Crosslisted with PSYCH 2150 and COGST 2150
LING 3302,Zec,A,SP21,32,
LING 3302,Zec,A,SP22,25,
LING 3303,Diesing,A-,FA21,34,
LING 3321,Alkire,A,FA18,19,
LING 3344,Dorit Abusch,A,SP22,10,Superlinguistics; very fun class ;)
LING 4424,Rooth,A,SP21,18,Crosslisted with CS 4744
LING 4425,Murray,A,SP22,18,Great Professor (who bought donuts to share)
LSP 2770,Diaz/Ngugi,A+,FA20,27,
MAE 2030,"Jacobson, Smith, Thomas",B,SP20,132,
MAE 2030,Andrew Von Paridon,B,SP22,102,
MAE 3050,Bewley,A-,FA18,45,
MAE 3230,Kirby,B+,FA21,125,
MAE 3240,Tian,B+,FA21,118,
MAE 3260,Campbell/Ritz,B+,SP21,118,
MAE 3270,Zehnder,B,FA21,119,
MAE 3780,Finio,A+,FA21,139,crosslisted with MAE 3783
MAE 4020,Barthelmie,A-,FA21,28,
MAE 4220,Zhang,A-,SP22,15,
MAE 4272,Zhang/Williamson,A-,FA21,128,
MAE 4300,Callister,A+,FA21,130,
MAE 4340,"Shepherd, Simoncini",A+,FA19,,
MAE 4351,Callister/Murtagh,A-,FA21,13,crosslisted w/ MSE 5070 and CHEME 5730
MAE 4610,Callister,A,SP21,48,
MAE 4900,N/A,A,FA21,324,project team course number
MAE 4980,Kirby,A,SP21,22,
MATH 1110,Schmultzer,A,SP21,171,
MATH 1110,Schmultzer,A-,FA21,540,
MATH 1110,Buttsworth,B,FA19,350,
MATH 1110,Schmultzer,B+,FA20,460,
MATH 1120,Iyer,B+,FA21,141,
MATH 1220,Benjimin,B+,FA18,10,
MATH 1710,Nussbaum,B+,FA20,58,
MATH 1910,Ruina,B+,SP21,132,
MATH 1910,Poitras,C-,SP22,38,Poitras is a tough grader
MATH 1920,Delp,B,SP22,634,Avoid Durham at all costs
MATH 1920,Connelly/Manning/Belk,B+,FA21,442,
MATH 1920,Sjamaar/Strogatz,B+,SP20,476,
MATH 2130,Kassabov,B,SP21,38,
MATH 2210,MacDonald,A-,FA20,225,
MATH 2210,Townsend,B+,FA21,183,"If you can choose a professor, make sure to get the better one in Prof Rating. Good Professor in this course will make it a million times easier"
MATH 2210,Riley,B+,SP22,113,
MATH 2211,Berest,B+,FA21,383,
MATH 2220,Quigley ,B,SP22,72,
MATH 2220,West,B+,FA20,37,
MATH 2230,Hubbard,A,FA20,14,
MATH 2230,,A-,FA21,22,
MATH 2240,Manning,A-,SP22,13,
MATH 2310,Borum,A-,FA18,37,N
MATH 2930,Ritz/Esmaily,B,FA21,401,
MATH 2930,Berest,B+,FA20,383,
MATH 2930,Healey/Vladimirsky,B+,SP22,328,
MATH 2940,Townsend,B+,FA20,412,ðŸ‘‘
MATH 2940,Swartz,B+,FA21,370,
MATH 2940,Lewis,B+,SP21,441,
MATH 2940,Scheinberg,B+,SP22,452,
MATH 3040,Swartz,A-,FA20,16,wise king
MATH 3040,Quigley,A-,FA21,23,
MATH 3110,Saloff-Coste/Nadeau,B+,FA20,,
MATH 3110,Harris,B+,SP21,67,
MATH 3230,Juul,A-,FA20,42,
MATH 3320,Templier,B+,FA20,78,
MATH 3360,Mesazaros,A,SP22,73,
MATH 3610,Vladimirsky,A-,FA21,17,
MATH 4130,Knutson,A,FA20,39,
MATH 4130,"Harris, Zhou",A-,FA21,46,separate sections
MATH 4140,Zhou,A,SP21,18,
MATH 4180,Hubbard,A,SP21,21,
MATH 4220,Randles,A-,FA21,21,
MATH 4220,Noack,A+,FA20,33,
MATH 4280,Clark,B+,SP22,19,
MATH 4310,MacDonald + Hyde,B,SP22,52,
MATH 4330,Sen,A-,FA20,28,
MATH 4340,Sen,A-,SP21,17,
MATH 4340,Sen,B+,SP22,18,Sen did say that the expected median was B+ before the class started
MATH 4500,Speh,B,SP22,22,
MATH 4530,Kassabov,A,FA20,15,
MATH 4710,Saloff-Coste,B+,FA21,64,dont take this class pls
MIHARI 1110,Aditya Manthri/Andrew Wang,A+,SP22,327,Loved it
MSE 2060,Robinson,B+,SP21,24,
MSE 2620,Van Dover,A-,FA21,23,
MSE 3010,Benedek,B+,FA21,20,
MSE 3030,Thompson,B,FA21,21,
MUSIC 1100,Serbanescu-Martin,A,SP21,,
MUSIC 1100,Cruz-Nowell,A+,FA20,67,unknown if 67 includes 7-week 1 term
MUSIC 1101,Pond,A,FA21,54,
MUSIC 1312,Peraino,A,SP21,153,Crosslisted with AMST 1312
MUSIC 1421,Ernste,A,FA21,36,
"MUSIC 1701 (FWS: Sound, Sense, Ideas)",Lewandowski,A,FA20,52,
MUSIC 2101,Moseley,B+,FA18,27,
MUSIC 2701,Moseley,A-,SP21,55,
MUSIC 3111,Merrill,A-,FA19,12,
MUSIC 3122,Di Russo,A+,FA21,17,
MUSIC 3431,Cross,A,FA20,27,
MUSIC 3621,Kilburn,A,FA19,78,
MUSIC 3621,Di Russo,A+,FA21,79,
MUSIC 3621,DiRusso,A+,SP22,66,
MUSIC 3634,Sparhuber,A+,FA19,12,
MUSIC 4621,Kilburn,A,FA19,17,
NES 2522,C. Monroe,B+,FA20,58,
NES 2601,Tenney,A,SP21,41,professor is no longer at cornell
NS 1150,Levitsky/Michael,B+,FA20,,
NS 1150,Michael,B+,FA21,178,
NS 2600,Moseley,A,SP22,,
NS 2750,Pollak,A,FA20,32,Highly recommend this class and Pollak!
NS 2750,Gu,A,SP21,100,Crosslisted with ANTHR 2750
NS 3150,Berry,A+,SP21,97,
NS 3200,Qian/McCormick,B+,FA21,86,
NS 3450,Aydemir/Nugen,A,FA19,,
NS 3600,Finkelstein,A-,FA19,49,
NS 4500,Rasmussen,A,SP21,76,
NS 4620,Moseley,A,SP22,24,
NTRES 2010,Yavitt,A,SP19,105,
NTRES 2201,Roberts,A-,SP21,57,"Crosslisted with BSOC 2201, DSOC 2201"
NTRES 2320,Tantillo,B-,SP22,31,"take another core class for BSOC if you can, readings are a lot of work"
NTRES 3311,Wolf,B+,FA20,79,"Crosslisted with STS 3311, BSOC 3311, DSOC 3311"
ORIE 3120,Frazier,A-,SP21,232,
ORIE 3150,Callister,A-,FA20,140,
ORIE 3300,Davis,A-,FA20,128,
ORIE 3300,Lewis,B+,FA21,136,
ORIE 3310,Schalekamp,B+,SP21,109,
ORIE 3500,Gennedy,B+,FA21,116,
ORIE 3510,Dai,B,SP21,85,Crosslisted with STSCI 3510
ORIE 3510,Dai,B+,SP22,120,
ORIE 4330,Gunluk,A-,FA21,27,
ORIE 4350,Schalekamp,A,FA20,74,
ORIE 4350,Schalekamp,B+,SP22,50,There's going to be a different professor from now on -- Schalekamp is not going to teach 4350 again
ORIE 4580,Henderson,B,FA21,102,
ORIE 4741,Udell,A-,FA21,49,
PAM 2000,Tripp,B+,SP22,87,
PAM 2100,Evans,B+,SP21,103,
PAM 2101,Rich,A-,FA21,60,
PAM 2300,Avery,B+,FA21,82,"don't take lol, although grades are fair the amount of work is WAAAY too much for an intro class"
PAM 2350,Nicholson,A-,FA20,350,
PAM 3100,Bottan,A-,SP21,60, 
PAM 3110,Carey,A+,FA20,72,
PAM 3120,Arguillas,B+,FA21,22,
PAM 3250,Tach,A,FA20,68,"crosslisted with SOC 3250, PAM 5250"
PAM 3280,Carmalt,A+,FA21,218,Prof is a sweetheart
PAM 3410,Mathios,A-,FA21,86,
PAM 3764,Manne,A-,SP22,70,
PAM 3780,Ziebarth,A,SP21,114,
PHIL 1100,Nichols,A,SP21,87,
PHIL 1100,Korzukhin,B+,FA21,59,
PHIL 1111,Dietl,A,FA20,49,
PHIL 1111,Manne,A-,FA19,50,
PHIL 2200,Brennan,A-,FA21,46,
PHIL 2310,Kocurek,A,SP21,44,
PHIL 2310,Markovits,A-,FA21,51,
PHIL 2621,Starr,A,FA19,70,
PHIL 2621,Starr,A,SP21,35,
PHIL 2990,"Nichols, Batemen, Lyon, Cornwell ",A-,SP22,30,
PHIL 3480,Markovits,A-,FA19,25,
PHYS 1101,Giambattista / Taylor,A-,FA20,217,
PHYS 1101,Giambattista/Taylor,B+,FA21,184,
PHYS 1110,Kim,A-,SP22,650,
PHYS 1112,Krasicky,A-,FA21,238,
PHYS 1112,Fullbright,B+,SP22,537,
PHYS 1116,Kim,A,FA21,48,
PHYS 1116,Alexander,B,FA19,82,
PHYS 1116,Shen,B+,FA20,87,
PHYS 1201,Cohen,A,FA20,128,
PHYS 1204,Thorne,A,SP21,16,crosslisted with MUSIC 1466
PHYS 2207,Mueller,A-,FA20,417,
PHYS 2207,Gruner (retired Fall 2019),B+,FA19,342,
PHYS 2207,Mueller,B+,FA21,280,
PHYS 2208,Liepe,A-,SP21,319,
PHYS 2208,Liepe,B+,SP22,314,
PHYS 2213,Bazarov,B+,FA20,429,
PHYS 2213,Bazarov,B+,FA21,377,
PHYS 2213,Giambattista,B+,SP22,182,
PHYS 2214,Case,A-,FA21,95,
PHYS 2214,Case,B+,SP22,186,
PHYS 2217,Xu,B+,SP21,12,
PHYS 2217,Xu,B+,SP22,45,
PHYS 2218,Wittich,A-,FA21,55,
PHYS 2218,Hoffstaetter,B,SP21,14,
PHYS 3310,Franck,A-,SP21,18,
PHYS 3316,Nowack,B+,FA19,29,gives A+s
PHYS 3316,Arias,B+,FA21,27,
PHYS 3317,Grossman,A-,FA20,62,
PHYS 3318,Maxson,B+,SP21,66,
PHYS 3327,Gibbons,A-,FA19,37,
PHYS 4444,LeClair,A,SP22,27,
PHYS 4481,Ginsparg,A-,FA21,24,crosslisted with CS 4812
PLBIO 2300,Nixon,A,FA21,13,
PLBIO 2400,Silva,A+,FA21,469,
PLSCI 1101,Miller,A-,FA21,55,"Great professor, ta's do all the grading and phd student does the final project"
PLSCI 1150,Crepet,A,SP22,32,
PLSCI 2013,Hodge,A,SP21,157,
PMA 2800,Black,A,SP22,99,
PORT 2010,Oliveira,A+,FA20,20,Prof retired
PSYCH 1101,Pizarro,A,FA21,956,No prelims in Fall 2021 (just final and weekly quizzes & readings) 
PSYCH 1102,Swallow,A,FA21,289,"crosslisted with COGST 1101, LING 1170, PHIL 1910, CS1710"
PSYCH 1102,Nichols,A,SP22,271,"crosslisted with COGST 1101, LING 1170, PHIL 1910, CS1710"
PSYCH 1103,Pizarro/Werth/Others,A+,FA18,29,PSYCH 1101 opt supplement
PSYCH 1120,Anderson,A,FA19,34,
PSYCH 1140 (FWS),Sasmita,A+,FA21,34,
PSYCH 2090,Goldstein,A,FA19,131,
PSYCH 2090,Goldstein,A-,SP22,107,
PSYCH 2230,DeVoogd,B,FA19,87,
PSYCH 2500,Cleland,A,SP22,116,FA19 median was A-. Would recommend to take the 4 cr option with R
PSYCH 2800,Gilovich,B+,SP22,245,
PSYCH 2940,"Russo, Gilovich, O'Donoghue, Schulze",A-,SP21,338,crosslisted with AEM 2020
PSYCH 3250,Segal,A-,SP22,185,
PSYCH 3420,Field,A-,FA21,81,
ROMS 1113 (FWS),Eibenstein-Alvisi,A-,FA19,,
ROMS 1114 (FWS: Semiotics),Alkire,A-,SP22,16,
RUSSA 1122,Paperno,A-,SP22,12,
RUSSA 1125,Paperno,A,FA20,206,
SOC 1101,Bischoff,A,FA20,258,
SOC 1101,Schnabel,A,FA21,282,
SOC 2070,Rich,A,FA21,141,Crosslisted with AMST 2070 and PAM 2250
SOC 2208,Weedon,A,SP21,233,
SPAN 1210,Bevia (and others),B+,FA21,66,
SPAN 1220,Teutli (and others),A-,SP22,69,
SPAN 1230,Mahiques,A-,FA21,99,
SPAN 2070,Arias Fuentes,A-,FA18,47,
SPAN 2090,Teutli,A-,FA19,151, 
SPAN 2090,Lopez et. al.,B+,FA21,139,
SPAN 2090,McAdams (and others),B+,SP21,118,
SPAN 2095,"Amigo-Silvestre, Maldonado-Mendez",B+,FA19,54,
SPAN 2180,Lawless,A,FA20,29,
STS 1101,Leuenberger,A-,FA20,28,
STS 1126 (FWS),Harrison,A,FA21,17,
STS 2011,Hilgartner,A,FA20,64,crosslisted with SOC 2100
STS 2051,Overby,A,FA20,139,crosslisted with BSOC 2051
STS 2468,Langwick,A,SP21,83,crosslisted with BSOC/ANTHR 2468
STS 3011,Roebuck,A,FA19,74,
STS 3011,Ratcliff,A,FA21,68,
STS 3042,Kreps,A-,SP21,61,crosslisted with GOVT 3042
STS 3111,Leuenberger,A+,FA21,52,
STSCI 2100,Karns,A,SP21,380,crosslisted with ILRST 2100
STSCI 2100,Packard/Karns,B+,FA21,234,crosslisted with ILRST 2100
STSCI 2150,Smith,A-,FA21,197,
STSCI 2150,Smith,A-,SP18,,
STSCI 2150,Smith,B+,SP22,211,
STSCI 3080,El Alaoui,A-,FA21,120,"This professor has a 1.7 rating on rate my professors, crosslisted with BTRY 3080"
STSCI 4030,Guinness,A-,FA20,65,
STSCI 4110,Smith,A-,FA21,33,
STSCI 4740,Ning,A-,FA21,39,
SYSEN 1900,Schneider,A,SP21,50,
TURK 1331,Ozer-Griffin,A,FA21,2,Teacher is absolutely amazing
VIEN 1104,Arnink/Moss,A,FA21,208,